CONDITION,OUTCOME,Year,Geography,GeoType,GeoName,GeoID,Region,District,Total,TotalRate,AARate,Age0_14,Age0_14Rate,Age15_24,Age15_24Rate,Age25_44,Age25_44Rate,Age45_64,Age45_64Rate,Age65Plus,Age65PlusRate,Total_Male,Total_MaleRate,AA_TotalMaleRate,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate,Total_Female,Total_FemaleRate,AA_TotalFemaleRate,Age0_14_Female,Age0_14_FemaleRate,Age15_24_Female,Age15_24_FemaleRate,Age25_44_Female,Age25_44_FemaleRate,Age45_64_Female,Age45_64_FemaleRate,Age45Plus_Female,Age45Plus_FemaleRate,Age65Plus_Female,Age65Plus_FemaleRate,White_Total,White_TotalRate,White_Age0_14,White_Age0_14Rate,White_Age15_24,White_Age15_24Rate,White_Age25_44,White_Age25_44Rate,White_Age45_64,White_Age45_64Rate,White_Age65Plus,White_Age65PlusRate,White_Total_Male,White_Total_MaleRate,White_Age0_14_Male,White_Age0_14_MaleRate,White_Age15_24_Male,White_Age15_24_MaleRate,White_Age25_44_Male,White_Age25_44_MaleRate,White_Age45_64_Male,White_Age45_64_MaleRate,White_Age65Plus_Male,White_Age65Plus_MaleRate,White_Total_Female,White_Total_FemaleRate,White_Age0_14_Female,White_Age0_14_FemaleRate,White_Age15_24_Female,White_Age15_24_FemaleRate,White_Age25_44_Female,White_Age25_44_FemaleRate,White_Age45_64_Female,White_Age45_64_FemaleRate,White_Age45Plus_Female,White_Age45Plus_FemaleRate,White_Age65Plus_Female,White_Age65Plus_FemaleRate,Black_Total,Black_TotalRate,Black_Age0_14,Black_Age0_14Rate,Black_Age15_24,Black_Age15_24Rate,Black_Age25_44,Black_Age25_44Rate,Black_Age45_64,Black_Age45_64Rate,Black_Age65Plus,Black_Age65PlusRate,Black_Total_Male,Black_Total_MaleRate,Black_Age0_14_Male,Black_Age0_14_MaleRate,Black_Age15_24_Male,Black_Age15_24_MaleRate,Black_Age25_44_Male,Black_Age25_44_MaleRate,Black_Age45_64_Male,Black_Age45_64_MaleRate,Black_Age65Plus_Male,Black_Age65Plus_MaleRate,Black_Total_Female,Black_Total_FemaleRate,Black_Age0_14_Female,Black_Age0_14_FemaleRate,Black_Age15_24_Female,Black_Age15_24_FemaleRate,Black_Age25_44_Female,Black_Age25_44_FemaleRate,Black_Age45_64_Female,Black_Age45_64_FemaleRate,Black_Age45Plus_Female,Black_Age45Plus_FemaleRate,Black_Age65Plus_Female,Black_Age65Plus_FemaleRate,Hispanic_Total,Hispanic_TotalRate,Hispanic_Age0_14,Hispanic_Age0_14Rate,Hispanic_Age15_24,Hispanic_Age15_24Rate,Hispanic_Age25_44,Hispanic_Age25_44Rate,Hispanic_Age45_64,Hispanic_Age45_64Rate,Hispanic_Age65Plus,Hispanic_Age65PlusRate,Hispanic_Total_Male,Hispanic_Total_MaleRate,Hispanic_Age0_14_Male,Hispanic_Age0_14_MaleRate,Hispanic_Age15_24_Male,Hispanic_Age15_24_MaleRate,Hispanic_Age25_44_Male,Hispanic_Age25_44_MaleRate,Hispanic_Age45_64_Male,Hispanic_Age45_64_MaleRate,Hispanic_Age65Plus_Male,Hispanic_Age65Plus_MaleRate,Hispanic_Total_Female,Hispanic_Total_FemaleRate,Hispanic_Age0_14_Female,Hispanic_Age0_14_FemaleRate,Hispanic_Age15_24_Female,Hispanic_Age15_24_FemaleRate,Hispanic_Age25_44_Female,Hispanic_Age25_44_FemaleRate,Hispanic_Age45_64_Female,Hispanic_Age45_64_FemaleRate,Hispanic_Age45Plus_Female,Hispanic_Age45Plus_FemaleRate,Hispanic_Age65Plus_Female,Hispanic_Age65Plus_FemaleRate,API_Total,API_TotalRate,API_Age0_14,API_Age0_14Rate,API_Age15_24,API_Age15_24Rate,API_Age25_44,API_Age25_44Rate,API_Age45_64,API_Age45_64Rate,API_Age65Plus,API_Age65PlusRate,API_Total_Male,API_Total_MaleRate,API_Age0_14_Male,API_Age0_14_MaleRate,API_Age15_24_Male,API_Age15_24_MaleRate,API_Age25_44_Male,API_Age25_44_MaleRate,API_Age45_64_Male,API_Age45_64_MaleRate,API_Age65Plus_Male,API_Age65Plus_MaleRate,API_Total_Female,API_Total_FemaleRate,API_Age0_14_Female,API_Age0_14_FemaleRate,API_Age15_24_Female,API_Age15_24_FemaleRate,API_Age25_44_Female,API_Age25_44_FemaleRate,API_Age45_64_Female,API_Age45_64_FemaleRate,API_Age45Plus_Female,API_Age45Plus_FemaleRate,API_Age65Plus_Female,API_Age65Plus_FemaleRate,AIAN_Total,AIAN_TotalRate,AIAN_Age0_14,AIAN_Age0_14Rate,AIAN_Age15_24,AIAN_Age15_24Rate,AIAN_Age25_44,AIAN_Age25_44Rate,AIAN_Age45_64,AIAN_Age45_64Rate,AIAN_Age65Plus,AIAN_Age65PlusRate,AIAN_Total_Male,AIAN_Total_MaleRate,AIAN_Age0_14_Male,AIAN_Age0_14_MaleRate,AIAN_Age15_24_Male,AIAN_Age15_24_MaleRate,AIAN_Age25_44_Male,AIAN_Age25_44_MaleRate,AIAN_Age45_64_Male,AIAN_Age45_64_MaleRate,AIAN_Age65Plus_Male,AIAN_Age65Plus_MaleRate,AIAN_Total_Female,AIAN_Total_FemaleRate,AIAN_Age0_14_Female,AIAN_Age0_14_FemaleRate,AIAN_Age15_24_Female,AIAN_Age15_24_FemaleRate,AIAN_Age25_44_Female,AIAN_Age25_44_FemaleRate,AIAN_Age45_64_Female,AIAN_Age45_64_FemaleRate,AIAN_Age45Plus_Female,AIAN_Age45Plus_FemaleRate,AIAN_Age65Plus_Female,AIAN_Age65Plus_FemaleRate,Other_notAIAN_Total,Other_notAIAN_TotalRate,Other_notAIAN_Age0_14,Other_notAIAN_Age0_14Rate,Other_notAIAN_Age15_24,Other_notAIAN_Age15_24Rate,Other_notAIAN_Age25_44,Other_notAIAN_Age25_44Rate,Other_notAIAN_Age45_64,Other_notAIAN_Age45_64Rate,Other_notAIAN_Age65Plus,Other_notAIAN_Age65PlusRate,Other_notAIAN_Total_Male,Other_notAIAN_Total_MaleRate,Other_notAIAN_Age0_14_Male,Other_notAIAN_Age0_14_MaleRate,Other_notAIAN_Age15_24_Male,Other_notAIAN_Age15_24_MaleRate,Other_notAIAN_Age25_44_Male,Other_notAIAN_Age25_44_MaleRate,Other_notAIAN_Age45_64_Male,Other_notAIAN_Age45_64_MaleRate,Other_notAIAN_Age65Plus_Male,Other_notAIAN_Age65Plus_MaleRate,Other_notAIAN_Total_Female,Other_notAIAN_Total_FemaleRate,Other_notAIAN_Age0_14_Female,Other_notAIAN_Age0_14_FemaleRate,Other_notAIAN_Age15_24_Female,Other_notAIAN_Age15_24_FemaleRate,Other_notAIAN_Age25_44_Female,Other_notAIAN_Age25_44_FemaleRate,Other_notAIAN_Age45_64_Female,Other_notAIAN_Age45_64_FemaleRate,Other_notAIAN_Age45Plus_Female,Other_notAIAN_Age45Plus_FemaleRate,Other_notAIAN_Age65Plus_Female,Other_notAIAN_Age65Plus_FemaleRate
Heart Failure,Hospitalization,2017,Del Mar-Mira Mesa,SRA,DEL MAR-MIRA MESA,13,NORTH CENTRAL,Supervisorial District 3,233,136.76,148.2,,,,,6,12.75,50,106.9,178,822.44,125,146.04,175.79,,,,,,,35,153.64,88,896.68,108,127.36,126.28,,,,,,,15,63.08,105,293.4,90,760.77,111,144.64,,,,,,,18,76.5,93,744.17,56,142.15,,,,,,,9,76.93,47,794.93,54,147.33,,,,,,,9,76.06,54,297.69,45,697.85,14,242.83,,,,,,,6,471.3,6,"1,133.52",10,326.98,,,,,,,6,812.21,5,"1,905.5",,,,,,,,,,,,,,,10,40.64,,,,,,,,,9,652.67,,,,,,,,,,,,,5,44.4,,,,,,,,,5,151.75,5,640.14,87,154.94,,,,,,,23,144.04,60,866.77,47,174.04,,,,,,,17,234.94,27,928.45,40,137.18,,,,,,,6,66.95,39,310.42,33,821.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,108.31,,,,,,,,,7,"3,045.09",7,161.49,,,,,,,,,5,"4,548.63",,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Elliott-Navajo,SRA,ELLIOTT-NAVAJO,17,NORTH CENTRAL,Supervisorial District 3,164,173.64,135.63,,,,,6,21.75,33,136.44,126,786.59,98,210.52,186.53,,,,,5,39.59,26,217.84,67,946.15,67,138.26,91.36,,,,,,,7,59.05,66,312.17,59,660.72,122,211.13,,,,,,,19,119.48,102,802.48,75,261.54,,,,,,,15,185.37,59,"1,031.57",47,161.42,,,,,,,,,47,313.93,43,614.1,10,243.93,,,,,,,6,557.04,,,8,346.88,,,,,,,5,848.2,,,,,,,,,,,,,,,,,9,48.33,,,,,,,,,6,487.43,5,54.45,,,,,,,,,,,,,,,,,,,,,,,,,14,137.48,,,,,,,,,8,553.95,7,141.44,,,,,,,,,,,7,134.15,,,,,,,,,7,305.26,7,836.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,267.79,,,,,,,,,6,"5,054.89",,,,,,,,,,,,,6,319.27,,,,,,,,,5,"1,762.84",,
Heart Failure,Hospitalization,2017,Kearny Mesa,SRA,KEARNY MESA,10,NORTH CENTRAL,Supervisorial District 4,372,220.32,185.45,,,,,9,18.19,78,185.85,284,"1,135",189,225.03,218.97,,,,,5,17.71,60,289.1,123,"1,128.14",183,215.67,156.7,,,,,5,18.68,18,83.69,179,508.21,161,"1,140.3",265,301.47,,,,,,,47,191.65,214,"1,221.27",125,281.01,,,,,,,37,289.92,84,"1,081.71",140,322.34,,,,,,,10,85.8,140,650.74,130,"1,333.42",31,404.67,,,,,,,16,871.54,12,"1,476.53",16,409.38,,,,,,,13,"1,341.47",,,15,399.56,,,,,,,,,12,875.72,9,"1,973.81",36,82.56,,,,,,,8,93.75,28,873.01,20,93.69,,,,,,,5,125.48,15,"1,120.14",16,71.79,,,,,,,,,16,248.55,13,694.71,20,89.3,,,,,,,,,17,534.61,15,143.7,,,,,,,,,12,951.42,5,41.73,,,,,,,,,5,96.28,5,259.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,228.46,,,,,,,,,9,"3,804.46",11,354.73,,,,,,,,,7,"6,731.33",,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Miramar,SRA,MIRAMAR,16,NORTH CENTRAL,Supervisorial District 3,11,173.49,212.65,,,,,,,,,8,"1,108.5",6,169.39,252.34,,,,,,,,,,,5,178.65,178.9,,,,,,,,,5,443.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,214.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Peninsula,SRA,PENINSULA,2,NORTH CENTRAL,Supervisorial District 4,112,159.84,142.91,,,,,,,25,155.56,84,802.92,70,188,198.28,,,,,,,22,264.26,47,978.8,42,127.82,90.44,,,,,,,,,40,292.9,36,651.16,89,182.68,,,,,,,17,136.65,71,802.59,54,206.67,,,,,,,15,230.51,39,929.27,35,154.82,,,,,,,,,34,326.12,32,690.61,9,524.71,,,,,,,6,"2,196.77",,,6,595.87,,,,,,,6,"3,573.67",,,,,,,,,,,,,,,,,7,50.07,,,,,,,,,5,567.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,269.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,North Coastal Region,Region,NORTH COASTAL,1,NORTH COASTAL,NA,"1,128",203.06,174.41,,,,,30,21.67,222,160.93,875,"1,057.22",600,212.48,215.32,,,,,18,25.4,139,206.56,443,"1,202.37",528,193.33,141.59,,,,,12,17.76,83,117.47,515,441.78,432,940.77,796,248.24,,,,,,,112,126.46,681,"1,068.32",405,244.93,,,,,,,68,153.57,336,"1,159.54",391,251.77,,,,,,,44,99.35,389,492.05,345,992.29,55,309.06,,,,,6,128.95,29,716.05,20,"1,173.02",41,425.27,,,,,6,231.75,22,"1,031.89",13,"1,664.53",14,171.67,,,,,,,7,364.96,14,492.61,7,757.58,155,96.67,,,,,9,21.46,45,142.66,100,959.6,93,115.44,,,,,6,28.62,29,194.32,58,"1,326.93",62,77.71,,,,,,,16,96.28,58,255.86,42,694.21,88,233.12,,,,,10,94.29,30,274.42,48,816.19,41,237.78,,,,,,,18,389.19,19,844.82,47,229.2,,,,,6,104.48,12,190.26,41,412.52,29,798.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,169.75,,,,,,,,,22,"3,026.13",19,229.72,,,,,,,,,16,"4,848.48",9,109.44,,,,,,,,,8,508.91,6,"1,511.34"
Heart Failure,Hospitalization,2017,Carlsbad,SRA,CARLSBAD,41,NORTH COASTAL,Supervisorial District 5,236,188.38,141.24,,,,,,,32,91.5,203,982.18,124,201.67,174.21,,,,,,,23,133.56,102,"1,095",111,175.48,115.42,,,,,,,9,51.88,111,377.23,102,890.37,194,230.91,,,,,,,18,72.15,176,"1,033.3",98,235.32,,,,,,,14,114.29,84,"1,079.27",96,226.57,,,,,,,,,96,434.76,92,994.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,57.62,,,,,,,,,10,546.98,7,61.86,,,,,,,,,6,766.11,7,53.58,,,,,,,,,6,161.6,,,18,178.4,,,,,,,7,231.22,11,745.29,12,257,,,,,,,5,381.71,7,"1,191.3",6,111.72,,,,,,,,,6,230.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Oceanside,SRA,OCEANSIDE,42,NORTH COASTAL,Supervisorial District 5,426,253.82,223.67,,,,,20,45.82,115,279.46,291,"1,181.9",241,288.92,284.65,,,,,10,46.53,80,398.79,150,"1,391.02",185,219.24,173.06,,,,,10,45.08,35,165.2,175,503.7,141,"1,018.73",245,307.24,,,,,,,47,212.13,197,"1,157.91",135,337.77,,,,,,,31,277.92,104,"1,365.16",110,276.4,,,,,,,16,143.83,108,536.16,93,989.73,41,522.14,,,,,6,285.52,23,"1,136.25",12,"1,371.8",32,809.55,,,,,6,533.79,20,"1,917.44",6,"1,605.19",8,221.22,,,,,,,,,8,583.72,5,"1,174.36",75,121.65,,,,,,,22,180.67,49,"1,160.3",49,161.3,,,,,,,19,322.74,30,"1,650.79",26,82.51,,,,,,,,,23,254.86,19,796.82,48,379.29,,,,,9,252.51,19,512.79,20,945.73,16,291.43,,,,,,,9,594.51,5,560.09,32,449.91,,,,,6,314.58,10,455.02,26,734.98,16,"1,173.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,265.8,,,,,,,,,10,"4,280.03",7,272.81,,,,,,,,,5,"4,646.08",7,259.01,,,,,,,,,7,"1,288.19",5,"3,951.83"
Heart Failure,Hospitalization,2017,Pendleton,SRA,PENDLETON,43,NORTH COASTAL,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,San Dieguito,SRA,SAN DIEGUITO,40,NORTH COASTAL,Supervisorial District 3,202,202.9,144.07,,,,,,,23,81.31,178,984.47,97,195.95,167.56,,,,,,,15,113.04,80,974.54,105,209.74,124.43,,,,,,,7,50.93,105,435.12,98,992.76,181,243.12,,,,,,,15,68.84,166,"1,051.25",86,231.22,,,,,,,13,113.9,74,"1,013.08",95,255.04,,,,,,,,,95,483.73,92,"1,083.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,53.04,,,,,,,,,5,413.34,,,,,,,,,,,,,5,61.19,,,,,,,,,5,191.55,,,6,89.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Vista,SRA,VISTA,52,NORTH COASTAL,Supervisorial District 5,242,226.03,214.62,,,,,8,30.39,52,206.82,180,"1,284.58",125,233.65,261.78,,,,,7,46.68,21,168.73,97,"1,590.82",117,218.46,179.5,,,,,,,31,243.31,115,549.69,83,"1,048.62",157,335.33,,,,,,,32,240.07,124,"1,280.63",76,322.01,,,,,,,10,155.79,64,"1,490.27",82,348.69,,,,,,,22,323.76,81,674.14,59,"1,111.06",6,197.18,,,,,,,,,,,5,263.09,,,,,,,,,,,,,,,,,,,,,,,,,58,121.04,,,,,5,36.68,16,176.35,36,"1,263.55",33,138.06,,,,,5,71.74,7,160.93,21,"1,770.57",25,104.12,,,,,,,9,190.66,24,373.64,15,898.47,16,264.11,,,,,,,,,13,"1,255.9",8,288.18,,,,,,,,,5,"1,328.12",8,243.84,,,,,,,,,8,507.31,8,"1,212.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,North Inland Region,Region,NORTH INLAND,6,NORTH INLAND,NA,"1,205",198.32,167.42,,,,,33,22.44,237,152.43,930,"1,005.49",620,206.83,199.91,,,,,17,22.92,139,183.81,461,"1,120.13",585,190.04,141.57,,,,,16,21.95,98,122.71,567,432.16,469,913.59,868,275.12,,,,,11,15.56,135,146.73,719,"1,069.81",463,295.11,,,,,6,16.45,89,194.67,365,"1,190.94",405,255.33,,,,,5,14.61,46,99.38,400,482.81,354,968.27,31,230.77,,,,,,,17,562.17,10,740.19,15,214.65,,,,,,,6,381.19,6,982,16,248.25,,,,,,,11,758.62,15,684.93,,,169,93.28,,,,,13,27.82,60,165.87,94,766.91,75,83.95,,,,,,,29,168.6,42,820.79,94,102.36,,,,,9,38.25,31,163.39,83,317.85,52,728.29,77,104.12,,,,,5,24.09,12,57.6,60,573.45,35,100.71,,,,,,,8,84.5,23,544.25,42,107.14,,,,,,,,,41,232.9,37,593.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,238.87,,,,,,,10,386.7,38,"4,561.82",25,249.1,,,,,,,6,479.23,19,"5,219.78",23,228.65,,,,,,,,,23,"1,275.65",19,"4,051.17"
Heart Failure,Hospitalization,2017,Anza-Borrego Springs,SRA,ANZA-BORREGO SPRINGS,63,NORTH INLAND,Supervisorial District 5,10,186.14,103.15,,,,,,,,,8,569.18,5,203.49,101.59,,,,,,,,,5,722.86,5,169.63,105.96,,,,,,,,,,,,,8,213.91,,,,,,,,,7,553.43,5,290.03,,,,,,,,,5,782.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Escondido,SRA,ESCONDIDO,50,NORTH INLAND,Supervisorial District 3,390,225.3,203.43,,,,,17,39.19,108,257.87,266,"1,092.51",199,232.37,237.97,,,,,10,44.81,65,316.68,125,"1,162.84",191,218.37,174.97,,,,,7,33.38,43,201.66,184,526.98,141,"1,037.02",267,344.15,,,,,,,56,253.82,208,"1,243.79",143,370.48,,,,,,,41,368.66,99,"1,312.71",124,318.04,,,,,,,15,138.94,124,612.6,109,"1,186.98",14,339.35,,,,,,,8,888.97,,,7,329.39,,,,,,,,,,,6,351.23,,,,,,,,,6,"1,002.62",,,77,103.76,,,,,9,44.67,35,241.76,33,682.85,28,76.85,,,,,,,14,206.54,12,599.97,49,130.01,,,,,7,71.69,21,274.01,42,402.24,21,741.87,15,127.06,,,,,,,,,10,495.06,9,171.79,,,,,,,,,5,665.35,6,88.61,,,,,,,,,6,183.73,5,382.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,314.12,,,,,,,5,762.88,10,"5,113.25",9,374.85,,,,,,,,,6,"6,376.85",6,251.81,,,,,,,,,6,"1,390.37",,
Heart Failure,Hospitalization,2017,Fallbrook,SRA,FALLBROOK,55,NORTH INLAND,Supervisorial District 5,55,110.19,82.37,,,,,,,12,98.99,40,435.27,34,137.87,110.7,,,,,,,9,155.16,25,587.82,21,83.13,60.25,,,,,,,,,18,160.39,15,306.72,38,141.23,,,,,,,7,88.3,31,433.3,24,184.36,,,,,,,,,21,612.56,13,98.97,,,,,,,,,13,174.65,10,274.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,68.1,,,,,,,5,125.95,5,376.55,8,84.17,,,,,,,5,252.57,,,5,52.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,North San Diego,SRA,NORTH SAN DIEGO,14,NORTH INLAND,Supervisorial District 3,200,165.74,138.9,,,,,,,11,32.4,188,"1,041.06",104,175.98,177.79,,,,,,,6,35.47,98,"1,237.72",96,155.88,110.96,,,,,,,5,29.49,95,350.7,90,886.51,144,219.04,,,,,,,5,26.75,139,"1,082.84",76,233.89,,,,,,,,,75,"1,296.82",67,204.29,,,,,,,,,67,401.34,64,907.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,65.23,,,,,,,,,8,730.95,6,77.46,,,,,,,,,,,,,,,,,,,,,,,,,24,75.53,,,,,,,,,22,578.03,11,71.25,,,,,,,,,10,606.54,13,79.46,,,,,,,,,13,188.85,12,556.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,279.34,,,,,,,,,15,"7,230.33",8,287.54,,,,,,,,,7,"8,743.67",7,271.41,,,,,,,,,7,"1,579.78",7,"6,200.14"
Heart Failure,Hospitalization,2017,Palomar-Julian,SRA,PALOMAR-JULIAN,60,NORTH INLAND,Supervisorial District 5,21,281.62,263.27,,,,,,,7,336.84,10,604.27,14,373.89,295.87,,,,,,,6,589.54,9,"1,033.94",7,188.62,254.92,,,,,,,,,,,,,17,332.86,,,,,,,,,10,703.26,12,464.51,,,,,,,,,9,"1,188.19",5,200.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,SNF/Intermediate Care,2017,La Mesa,SRA,LA MESA,33,EAST,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Poway,SRA,POWAY,15,NORTH INLAND,Supervisorial District 2,154,170.94,139.36,,,,,,,20,77.42,133,944.08,69,154.59,149.24,,,,,,,10,81.24,57,904.07,86,186.72,134.62,,,,,,,10,73.82,86,406.69,76,976.79,109,203.01,,,,,,,6,37.33,102,949.4,47,176.06,,,,,,,,,45,898.25,62,229.81,,,,,,,5,56.27,62,431.67,57,993.78,6,342.26,,,,,,,5,"1,240.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,98.66,,,,,,,,,12,"1,119.16",9,121.18,,,,,,,,,6,"1,361.39",6,77.68,,,,,,,,,6,253.84,6,957.55,16,102.9,,,,,,,5,114.04,11,548.65,5,65.57,,,,,,,,,,,11,136,,,,,,,,,11,306.76,9,760.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,200.42,,,,,,,,,7,"5,161.74",,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,SNF/Intermediate Care,2017,North Central Region,Region,NORTH CENTRAL,2,NORTH CENTRAL,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Failure,Hospitalization,2017,Ramona,SRA,RAMONA,39,NORTH INLAND,Supervisorial District 2,78,218.18,192.4,,,,,5,60.24,16,162.11,57,995.36,44,245.16,237.66,,,,,,,11,228.76,30,"1,108.68",35,191.73,151.06,,,,,,,5,99,33,400.93,28,897.61,70,301.63,,,,,,,15,201.39,52,"1,125.53",39,339.83,,,,,,,11,299.95,27,"1,200.87",31,263.54,,,,,,,,,30,480.25,26,"1,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,52.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
